"Terms","Rank","ASIN/ISBN","Rank Type","Date/time Collected","tracking"
"Englischer","106","B007REKL1A","search","2015-07-10 15:19:24.490292","yes"
"Englischer","131","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"Englischer","133","B00540NW8S","search","2015-07-10 15:19:24.490292","yes"
"Englischer","142","B002KJA964","search","2015-07-10 15:19:24.490292","yes"
"Englischer","148","B002PMW112","search","2015-07-10 15:19:24.490292","yes"
"positive genius","2","0770436730","search","2015-07-10 15:19:24.490292","yes"
"remote business","5","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"work from home careers","185","0804137501","search","2015-07-10 15:19:24.490292","yes"
"work from home careers","225","0307951529","search","2015-07-10 15:19:24.490292","no"
"work from home careers","245","0767930533","search","2015-07-10 15:19:24.490292","no"
"career plans","43","0307888908","search","2015-07-10 15:19:24.490292","yes"
"making connections","264","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"career advice","1","0553446967","search","2015-07-10 15:19:24.490292","no"
"career advice","39","0767927419","search","2015-07-10 15:19:24.490292","no"
"career guides","135","B005DXOR08","search","2015-07-10 15:19:24.490292","no"
"unleash genius","14","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"telecommute","12","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"job for tomorrow","18","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"job for tomorrow","65","0804140782","search","2015-07-10 15:19:24.490292","no"
"job for tomorrow","178","0767926129","search","2015-07-10 15:19:24.490292","no"
"job for tomorrow","235","0385346654","search","2015-07-10 15:19:24.490292","yes"
"minimalism","8","0804137382","search","2015-07-10 15:19:24.490292","yes"
"philosophy of creativity","191","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"lifeline relationships","21","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"essentialist","1","0804137382","search","2015-07-10 15:19:24.490292","yes"
"soft skills","151","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"personalized data","25","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"working remotely","12","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"working remotely","101","1400082471","search","2015-07-10 15:19:24.490292","no"
"inner circle","300","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"professional success","172","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"professional success","289","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"power of relationships","268","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"finding happiness","144","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"living a good life","20","0804141444","search","2015-07-10 15:19:24.490292","yes"
"startup","1","0804139296","search","2015-07-10 15:19:24.490292","no"
"startup","2","0307887898","search","2015-07-10 15:19:24.490292","no"
"startup","6","0307951529","search","2015-07-10 15:19:24.490292","no"
"startup","28","0307888908","search","2015-07-10 15:19:24.490292","yes"
"startup","122","0307463745","search","2015-07-10 15:19:24.490292","no"
"startup","241","0385512481","search","2015-07-10 15:19:24.490292","no"
"achieve more","10","0307716902","search","2015-07-10 15:19:24.490292","no"
"achieve more","38","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"under one roof","68","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"under one roof","134","0385528752","search","2015-07-10 15:19:24.490292","no"
"under one roof","176","0385346654","search","2015-07-10 15:19:24.490292","yes"
"corporate sparring","1","0385521332","search","2015-07-10 15:19:24.490292","yes"
"success formula","104","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"success formula","247","0307591549","search","2015-07-10 15:19:24.490292","no"
"startup success","19","0307888908","search","2015-07-10 15:19:24.490292","yes"
"startup success","35","0307887898","search","2015-07-10 15:19:24.490292","no"
"startup success","245","0385512481","search","2015-07-10 15:19:24.490292","no"
"AEI","28","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"business relationships","114","0385346654","search","2015-07-10 15:19:24.490292","yes"
"business relationships","197","0385512058","search","2015-07-10 15:19:24.490292","no"
"business relationships","282","0385348339","search","2015-07-10 15:19:24.490292","no"
"performance anxiety","20","0804136726","search","2015-07-10 15:19:24.490292","yes"
"business inspiration","106","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"business inspiration","247","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"productivity tools","21","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"face pressure","11","0804136726","search","2015-07-10 15:19:24.490292","yes"
"vital few","10","0804137382","search","2015-07-10 15:19:24.490292","yes"
"BNB","34","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"digital future","208","0385347596","search","2015-07-10 15:19:24.490292","yes"
"creative","2","038534936X","search","2015-07-10 15:19:24.490292","no"
"work at home jobs","170","0307951529","search","2015-07-10 15:19:24.490292","no"
"work at home jobs","306","0767930533","search","2015-07-10 15:19:24.490292","no"
"unlock potential","138","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","12","1601426992","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","16","0307729982","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","33","0307446557","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","38","0307730026","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","45","1400073960","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","53","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","67","0307730069","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","69","0307730042","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","71","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","92","0307446530","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","216","1400073979","search","2015-07-10 15:19:24.490292","yes"
"Old Order Amish","256","0307729958","search","2015-07-10 15:19:24.490292","yes"
"innovation","17","0307887898","search","2015-07-10 15:19:24.490292","no"
"innovation","27","0307336697","search","2015-07-10 15:19:24.490292","no"
"innovation","59","0385512074","search","2015-07-10 15:19:24.490292","no"
"innovation","144","B00J6YBOFQ","search","2015-07-10 15:19:24.490292","no"
"innovation","249","B00CGI3DWQ","search","2015-07-10 15:19:24.490292","no"
"success under pressure","1","0804136726","search","2015-07-10 15:19:24.490292","yes"
"rethink","214","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"unlocking your creativity","12","0770434002","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","27","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","36","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","58","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","67","B007REKL1A","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","84","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","91","B00540NW8S","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","115","B002KJA964","search","2015-07-10 15:19:24.490292","yes"
"buggy fiction","126","B002PMW112","search","2015-07-10 15:19:24.490292","yes"
"37 signals","2","0804137501","search","2015-07-10 15:19:24.490292","yes"
"37 signals","5","0307463745","search","2015-07-10 15:19:24.490292","no"
"bad boss","296","0767922859","search","2015-07-10 15:19:24.490292","no"
"co-working space","8","0804137501","search","2015-07-10 15:19:24.490292","yes"
"co-working space","14","0307951529","search","2015-07-10 15:19:24.490292","no"
"career growth","32","0553446967","search","2015-07-10 15:19:24.490292","no"
"career growth","63","0307888908","search","2015-07-10 15:19:24.490292","yes"
"career growth","297","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"business","13","0307951529","search","2015-07-10 15:19:24.490292","no"
"business","26","0307887898","search","2015-07-10 15:19:24.490292","no"
"business","47","0804139296","search","2015-07-10 15:19:24.490292","no"
"online reputation management","20","0385347596","search","2015-07-10 15:19:24.490292","yes"
"callaboration","5","0804137501","search","2015-07-10 15:19:24.490292","yes"
"building relationships","144","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"how to be more productive at work","20","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"personal branding","180","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"personal branding","304","038552627X","search","2015-07-10 15:19:24.490292","no"
"science of happiness","43","0307591549","search","2015-07-10 15:19:24.490292","no"
"science of happiness","64","0770436730","search","2015-07-10 15:19:24.490292","yes"
"fullest potential","37","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"fullest potential","171","0307591549","search","2015-07-10 15:19:24.490292","no"
"networking","30","0385512058","search","2015-07-10 15:19:24.490292","no"
"networking","79","0385346654","search","2015-07-10 15:19:24.490292","yes"
"full potential","288","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"increased productivity","49","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"increased productivity","186","038534645X","search","2015-07-10 15:19:24.490292","no"
"increased productivity","201","0307719227","search","2015-07-10 15:19:24.490292","no"
"college graduation gifts","246","0804141444","search","2015-07-10 15:19:24.490292","yes"
"work at home","53","0307345742","search","2015-07-10 15:19:24.490292","no"
"work at home","282","0767930533","search","2015-07-10 15:19:24.490292","no"
"connecting to people","166","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"connecting to people","284","0804139296","search","2015-07-10 15:19:24.490292","no"
"business success","261","0307591220","search","2015-07-10 15:19:24.490292","no"
"virtual workspace","6","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"overcoming obstacles","55","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"positive psychology","22","0307591549","search","2015-07-10 15:19:24.490292","no"
"mistaken identity","192","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"getting ahead","1","0804141444","search","2015-07-10 15:19:24.490292","yes"
"getting ahead","7","0307351130","search","2015-07-10 15:19:24.490292","no"
"getting ahead","83","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"getting ahead","151","0553446967","search","2015-07-10 15:19:24.490292","no"
"essential","14","0804137382","search","2015-07-10 15:19:24.490292","yes"
"digital footprint","3","0385347596","search","2015-07-10 15:19:24.490292","yes"
"sparring","113","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","35","1400073960","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","45","0307446557","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","47","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","56","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","61","0307446530","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","72","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","78","B007REKL1A","search","2015-07-10 15:19:24.490292","yes"
"bonnet romance","89","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"less is more","30","0385347022","search","2015-07-10 15:19:24.490292","no"
"amish fiction","169","B00SPW377S","search","2015-07-10 15:19:24.490292","yes"
"amish fiction","271","1601426992","search","2015-07-10 15:19:24.490292","yes"
"American Enterprise Institute","62","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"positive inception","1","0770436730","search","2015-07-10 15:19:24.490292","yes"
"formula for success","134","0770436730","search","2015-07-10 15:19:24.490292","yes"
"formula for success","242","0307591549","search","2015-07-10 15:19:24.490292","no"
"trivial many","4","0804137382","search","2015-07-10 15:19:24.490292","yes"
"rediscover creativity","1","0770434002","search","2015-07-10 15:19:24.490292","yes"
"digital privacy","54","0385347596","search","2015-07-10 15:19:24.490292","yes"
"apple orchard","45","0307729982","search","2015-07-10 15:19:24.490292","yes"
"apple orchard","63","0307730026","search","2015-07-10 15:19:24.490292","yes"
"apple orchard","67","0307730042","search","2015-07-10 15:19:24.490292","yes"
"apple orchard","202","0307730069","search","2015-07-10 15:19:24.490292","yes"
"nerves of steel","15","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"nerves of steel","119","140008198X","search","2015-07-10 15:19:24.490292","no"
"privacy advocate","10","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"time management tools","99","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"social media privacy","210","0385347596","search","2015-07-10 15:19:24.490292","yes"
"corporate ladder","29","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"office manners","8","0804141444","search","2015-07-10 15:19:24.490292","yes"
"increase productivity","109","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"what really matters","216","030745178X","search","2015-07-10 15:19:24.490292","no"
"what really matters","222","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"disruptive innovation","46","0385512074","search","2015-07-10 15:19:24.490292","no"
"disruptive innovation","51","0307336697","search","2015-07-10 15:19:24.490292","no"
"disruptive innovation","55","0307887898","search","2015-07-10 15:19:24.490292","no"
"disruptive innovation","84","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"building trust","169","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"unlock your potential","177","0770434002","search","2015-07-10 15:19:24.490292","yes"
"creativity","8","038534936X","search","2015-07-10 15:19:24.490292","no"
"creativity","158","0804139296","search","2015-07-10 15:19:24.490292","no"
"Englischer fiction","5","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","10","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","11","0307730026","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","12","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","16","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","19","B00540NW8S","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","20","1400073960","search","2015-07-10 15:19:24.490292","yes"
"Englischer fiction","21","0307446530","search","2015-07-10 15:19:24.490292","yes"
"plain fiction","278","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"achieving success","22","0770436730","search","2015-07-10 15:19:24.490292","yes"
"achieving success","290","B001VT3L5A","search","2015-07-10 15:19:24.490292","no"
"pressure management","14","0804136726","search","2015-07-10 15:19:24.490292","yes"
"leadership","136","0385523866","search","2015-07-10 15:19:24.490292","no"
"leadership","225","0804141231","search","2015-07-10 15:19:24.490292","no"
"reputation economics","1","0385347596","search","2015-07-10 15:19:24.490292","yes"
"work from home opportunities","62","0804137501","search","2015-07-10 15:19:24.490292","yes"
"work from home opportunities","103","0767930533","search","2015-07-10 15:19:24.490292","no"
"handling pressure","1","0804136726","search","2015-07-10 15:19:24.490292","yes"
"performance under pressure","1","0804136726","search","2015-07-10 15:19:24.490292","yes"
"after happiness","72","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"creative genius","16","0770434002","search","2015-07-10 15:19:24.490292","yes"
"creative genius","296","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"building deep relationships","6","0385521332","search","2015-07-10 15:19:24.490292","yes"
"building deep relationships","144","0307589137","search","2015-07-10 15:19:24.490292","no"
"mental focus","198","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"Mennonite Romance","278","1400073979","search","2015-07-10 15:19:24.490292","yes"
"handling stress","12","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"handling stress","139","0307591549","search","2015-07-10 15:19:24.490292","no"
"unleash creativity","55","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"unleash creativity","132","038534936X","search","2015-07-10 15:19:24.490292","no"
"connecting to the world","144","0385346654","search","2015-07-10 15:19:24.490292","yes"
"millenial privacy","1","0385347596","search","2015-07-10 15:19:24.490292","yes"
"trusted team","41","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"trusted team","286","0804138389","search","2015-07-10 15:19:24.490292","no"
"online privacy issues","52","0385347596","search","2015-07-10 15:19:24.490292","yes"
"achieving potential","17","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"achieving potential","35","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"existential intelligence","11","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"success accelerants","1","0770436730","search","2015-07-10 15:19:24.490292","yes"
"real estate footprint","3","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"IHHP","2","0804136726","search","2015-07-10 15:19:24.490292","yes"
"invest in yourself","3","0307888908","search","2015-07-10 15:19:24.490292","yes"
"invest in yourself","24","0385522614","search","2015-07-10 15:19:24.490292","no"
"online reputation","13","0385347596","search","2015-07-10 15:19:24.490292","yes"
"Kapp","68","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"Kapp","97","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"Kapp","193","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"Kapp","259","B007REKL1A","search","2015-07-10 15:19:24.490292","yes"
"Kapp","298","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"Mennonite fiction","203","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"Mennonite fiction","226","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"Mennonite fiction","239","1601428146","search","2015-07-10 15:19:24.490292","yes"
"Mennonite fiction","287","B00RKVWRJY","search","2015-07-10 15:19:24.490292","yes"
"digital reputation","1","0385347596","search","2015-07-10 15:19:24.490292","yes"
"career advancement","13","0553446967","search","2015-07-10 15:19:24.490292","no"
"career advancement","35","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"career advancement","41","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"meaningful relationships","21","0385346654","search","2015-07-10 15:19:24.490292","yes"
"meaningful relationships","139","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"pressure solutions","197","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"building relationships at work","56","0385521332","search","2015-07-10 15:19:24.490292","yes"
"building relationships at work","295","0385347618","search","2015-07-10 15:19:24.490292","no"
"personal data protection","47","0385347596","search","2015-07-10 15:19:24.490292","yes"
"career guide","249","B005DXOR08","search","2015-07-10 15:19:24.490292","no"
"meaningful connections","15","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"meaningful connections","36","B0020HRVG2","search","2015-07-10 15:19:24.490292","yes"
"meaningful connections","56","0385529066","search","2015-07-10 15:19:24.490292","no"
"meaningful connections","141","0307888908","search","2015-07-10 15:19:24.490292","yes"
"meaningful connections","146","0770436730","search","2015-07-10 15:19:24.490292","yes"
"meaningful connections","206","030746170X","search","2015-07-10 15:19:24.490292","no"
"reputation management","17","0385347596","search","2015-07-10 15:19:24.490292","yes"
"effective time management","95","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"career development","138","0553446967","search","2015-07-10 15:19:24.490292","no"
"career development","152","0767927419","search","2015-07-10 15:19:24.490292","no"
"intelligent risk","21","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"personal brand","28","038552627X","search","2015-07-10 15:19:24.490292","no"
"personal brand","64","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"mental clairty","2","0804137382","search","2015-07-10 15:19:24.490292","yes"
"Amish recipes","42","0307729982","search","2015-07-10 15:19:24.490292","yes"
"Amish recipes","90","0307730026","search","2015-07-10 15:19:24.490292","yes"
"Amish recipes","123","B00540NW8S","search","2015-07-10 15:19:24.490292","yes"
"Amish recipes","124","0307730042","search","2015-07-10 15:19:24.490292","yes"
"Amish cooking","34","0307729982","search","2015-07-10 15:19:24.490292","yes"
"Amish cooking","63","0307730026","search","2015-07-10 15:19:24.490292","yes"
"Amish cooking","109","0307446557","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","10","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","29","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","66","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","76","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","84","B007REKL1A","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","96","B002KJA964","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","108","B00540NW8S","search","2015-07-10 15:19:24.490292","yes"
"bonnet fiction","121","B002PMW112","search","2015-07-10 15:19:24.490292","yes"
"work from home jobs","257","0307951529","search","2015-07-10 15:19:24.490292","no"
"add value","36","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"being more productive","20","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"personal improvement","223","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"college graduation books","99","0804141444","search","2015-07-10 15:19:24.490292","yes"
"plain romance","170","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"plain romance","186","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"plain romance","289","1400073960","search","2015-07-10 15:19:24.490292","yes"
"plain romance","303","B00540NW8S","search","2015-07-10 15:19:24.490292","yes"
"relationship building","158","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"digital privacy issues","3","0385347596","search","2015-07-10 15:19:24.490292","yes"
"business classics","130","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"positive inspiration","91","0770436730","search","2015-07-10 15:19:24.490292","yes"
"transform your career","2","0307888908","search","2015-07-10 15:19:24.490292","yes"
"change your thinking","277","0770436730","search","2015-07-10 15:19:24.490292","yes"
"professional relationships","134","0385346654","search","2015-07-10 15:19:24.490292","yes"
"online presense","2","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"unlock your creativity","31","0770434002","search","2015-07-10 15:19:24.490292","yes"
"less but better","35","0307339459","search","2015-07-10 15:19:24.490292","no"
"less but better","53","0804137382","search","2015-07-10 15:19:24.490292","yes"
"less but better","298","0385347022","search","2015-07-10 15:19:24.490292","no"
"professional inspiration","125","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"professional inspiration","281","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"getting what you want","81","0804141444","search","2015-07-10 15:19:24.490292","yes"
"getting what you want","230","0307716902","search","2015-07-10 15:19:24.490292","no"
"getting what you want","250","0385346654","search","2015-07-10 15:19:24.490292","yes"
"widowhood","163","1400073960","search","2015-07-10 15:19:24.490292","yes"
"shunning","109","1400072921","search","2015-07-10 15:19:24.490292","yes"
"time management skills","265","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"remote jobs","1","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"switched at birth","85","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"brand reputation","5","0385347596","search","2015-07-10 15:19:24.490292","yes"
"brand reputation","286","0385346948","search","2015-07-10 15:19:24.490292","no"
"decisions under pressure","1","0804136726","search","2015-07-10 15:19:24.490292","yes"
"decisions under pressure","88","0804137757","search","2015-07-10 15:19:24.490292","no"
"decisions under pressure","249","0307460266","search","2015-07-10 15:19:24.490292","no"
"decisions under pressure","297","0307952568","search","2015-07-10 15:19:24.490292","no"
